"","male.id","female.id","male.age","female.age","contact"
"1",5500017,6204010,54,47,3
"2",5500043,6204015,64,48,3
"3",5500043,6204016,64,38,4
"4",5500043,6204017,64,19,2
"5",5500062,6204019,31,25,2
"6",5500070,6204022,43,38,3
"7",5500074,6204024,24,23,2
"8",5500174,6204039,35,32,2
"9",5500174,6204040,35,32,2
"10",5500174,6204041,35,33,4
"11",5500175,6204042,58,51,2
"12",5500186,6204044,47,41,2
"13",5500195,6204045,22,19,2
"14",5500195,6204046,22,20,1
"15",5500195,6204047,22,20,1
"16",5500195,6204048,22,21,1
"17",5500195,6204049,22,18,1
"18",5500217,6204057,20,21,8
"19",5500219,6204058,22,23,2
"20",5500221,6204059,21,18,2
"21",5500221,6204060,21,18,2
"22",5500228,6204066,23,22,2
"23",5500248,6204067,51,53,1
"24",5500257,6204070,41,40,4
"25",5500280,6204076,29,25,4
"26",5500281,6204077,53,53,2
"27",5500324,6204087,41,43,1
"28",5500350,6204094,21,23,1
"29",5500373,6204099,19,16,7
"30",5500536,6204127,53,47,6
"31",5500536,6204128,53,33,4
"32",5500536,6204129,53,50,7
"33",5500542,6204131,20,21,1
"34",5500542,6204132,20,21,1
"35",5500542,6204133,20,21,1
"36",5500552,6204137,37,25,1
"37",5500619,6204146,44,44,2
"38",5500619,6204147,44,42,2
"39",5500697,6204163,19,18,2
"40",5500697,6204164,19,18,1
"41",5500697,6204165,19,18,1
"42",5500755,6204171,20,40,2
"43",5500755,6204172,20,34,2
"44",5500755,6204173,20,19,3
"45",5500947,6204200,38,34,2
"46",5500950,6204202,63,59,4
"47",5501028,6204234,36,20,5
"48",5501028,6204235,36,20,5
"49",5501028,6204236,36,20,1
"50",5501028,6204237,36,25,2
"51",5501030,6204238,43,43,3
"52",5501068,6204253,43,43,3
"53",5501089,6204260,21,21,1
"54",5501119,6204268,42,38,3
"55",5501175,6204271,21,20,1
"56",5501180,6204272,66,18,2
"57",5501180,6204273,66,18,4
"58",5501180,6204274,66,18,4
"59",5501180,6204275,66,22,3
"60",5501184,6204280,45,69,4
"61",5501327,6204314,48,37,3
"62",5501418,6204320,33,26,2
"63",5501418,6204321,33,25,2
"64",5501457,6204323,56,45,2
"65",5501620,6204337,49,46,3
"66",5901288,6204376,59,59,1
"67",5901292,6204377,35,17,3
"68",5901326,6204400,36,33,3
"69",5901354,6204406,37,29,4
"70",5901356,6204408,47,95,8
"71",5901362,6204410,32,27,3
"72",5901384,6204420,55,39,1
"73",5901417,6204423,34,33,3
"74",5901491,6204436,57,44,1
"75",5901492,6204438,22,21,13
"76",5901492,6204439,22,24,11
"77",5901492,6204440,22,21,10
"78",5901492,6204441,22,27,10
"79",5901545,6204455,62,59,1
"80",5901580,6204462,21,20,15
"81",5901580,6204463,21,18,11
"82",5901580,6204464,21,23,3
"83",5901580,6204465,21,22,3
"84",5901580,6204466,21,24,3
"85",5901580,6204467,21,21,3
"86",5901580,6204468,21,20,4
"87",5901580,6204469,21,14,3
"88",5901580,6204470,21,26,4
"89",5901605,6204477,47,25,4
"90",5901605,6204479,47,15,4
"91",5901605,6204480,47,25,4
"92",5901680,6204489,45,38,3
"93",5901721,6204498,45,28,2
"94",5901723,6204499,30,28,1
"95",5901723,6204500,30,26,1
"96",5901723,6204501,30,26,1
"97",5901723,6204502,30,26,1
"98",5901723,6204503,30,26,1
"99",5901723,6204504,30,26,1
"100",5901723,6204505,30,26,1
"101",5901786,6204513,28,24,4
"102",5901786,6204514,28,22,2
"103",5901786,6204515,28,25,1
"104",5901786,6204516,28,20,2
"105",5901861,6204529,49,43,3
"106",5901861,6204530,49,43,3
"107",5901889,6204534,33,34,4
"108",5901911,6204536,44,40,2
"109",5901911,6204537,44,39,1
"110",5901949,6204544,42,32,2
"111",5901951,6204545,54,45,2
"112",5901956,6204547,19,90,1
"113",5902004,6204558,36,39,3
"114",5902004,6204559,36,40,1
"115",5902131,6204565,37,34,8
"116",5902131,6204566,37,34,4
"117",5902146,6204568,54,50,4
"118",5902155,6204570,34,40,3
"119",5902155,6204571,34,40,3
"120",5902180,6204576,24,23,1
"121",5902180,6204577,24,23,2
"122",5902180,6204578,24,24,2
"123",5902180,6204579,24,23,2
"124",5902197,6204585,49,38,3
"125",5902204,6204586,29,26,5
"126",5902204,6204587,29,25,4
"127",5902293,6204601,31,26,3
"128",5902293,6204602,31,28,4
"129",5902334,6204612,23,22,1
"130",5902334,6204613,23,22,1
"131",5902334,6204614,23,23,1
"132",5902334,6204615,23,26,1
"133",5902342,6204617,43,39,2
"134",5902342,6204618,43,39,2
"135",5902342,6204619,43,38,1
"136",5902343,6204620,49,42,1
"137",5902387,6204626,41,37,1
"138",5902570,6204653,45,69,3
"139",5902576,6204654,66,48,1
"140",5902665,6204661,21,20,3
"141",5902665,6204662,21,21,3
"142",5902665,6204663,21,19,2
"143",5902665,6204664,21,21,2
"144",5902665,6204665,21,19,1
"145",5902670,6204666,57,51,1
"146",5902684,6204671,29,36,3
"147",5902708,6204677,40,56,3
"148",5904037,6204680,33,28,3
"149",5904066,6204685,21,18,2
"150",5904067,6204686,29,25,4
